Date,Colombo,Gampaha,Kalutara,Kandy,Matale,NuwaraEliya,Galle,Hambantota,Matara,Jaffna,Kilinochchi,Mannar,Vavuniya,Mullaitivu,Batticaloa,Ampara,Trincomalee,Kurunegala,Puttalam,Anuradhapura,Polonnaruwa,Badulla,Monaragala,Ratnapura,Kegalle,Kalmunai,SRILANKA
2007-01-01,242,64,60,116,24,12,25,6,30,0,0,4,5,0,1,0,8,50,43,4,9,6,5,15,34,0,763
2007-02-01,126,37,23,27,7,0,9,6,9,0,0,1,4,0,2,1,2,22,11,3,4,3,0,9,8,0,314
2007-03-01,44,22,19,16,3,1,4,5,8,0,0,0,0,0,3,0,5,23,3,4,2,3,1,13,14,0,193
2007-04-01,32,15,10,14,1,0,0,5,6,0,0,0,0,0,11,0,4,16,3,4,10,1,0,6,3,0,141
2007-05-01,60,21,15,10,2,8,4,2,10,0,0,0,0,0,26,0,1,17,5,13,0,4,4,14,23,0,239
2007-06-01,112,34,24,20,4,0,4,3,11,0,0,0,1,0,9,2,5,54,6,30,6,1,1,19,27,1,374
2007-07-01,160,38,39,34,7,5,6,6,16,0,0,0,1,0,4,0,7,114,8,46,2,9,7,56,19,0,584
2007-08-01,125,57,34,16,7,3,7,12,10,0,0,0,1,0,4,0,1,38,9,2,6,8,10,34,16,0,400
2007-09-01,161,74,44,19,2,1,7,10,23,8,0,0,4,0,2,0,0,76,12,21,4,12,5,46,46,0,577
2007-10-01,203,105,35,35,8,2,8,16,33,62,0,0,7,0,2,0,0,107,27,23,3,10,6,40,58,0,790
2007-11-01,191,142,49,25,8,0,8,9,40,30,0,0,6,0,0,1,4,63,82,19,6,7,5,27,39,1,762
2007-12-01,235,126,47,25,16,4,7,12,24,17,0,0,6,0,2,1,3,84,131,54,5,15,8,25,34,1,882
2008-01-01,192,131,58,22,9,2,20,19,38,2,0,0,9,0,17,2,24,62,43,33,13,10,3,15,31,0,755
2008-02-01,134,66,54,20,9,2,6,17,19,3,0,7,1,0,13,3,62,20,54,21,8,1,6,27,27,2,582
2008-03-01,128,55,38,20,7,1,8,2,17,0,0,5,0,0,12,0,25,37,51,17,5,5,5,11,31,6,486
2008-04-01,172,103,55,21,16,2,13,7,24,5,0,3,0,0,17,1,23,26,33,12,10,13,8,9,59,7,639
2008-05-01,106,57,47,16,6,5,6,2,15,4,0,0,0,0,6,0,5,20,29,6,6,6,3,11,36,2,394
2008-06-01,111,47,27,17,5,1,5,3,24,1,0,1,0,0,3,2,7,12,14,1,8,4,4,8,43,8,356
2008-07-01,165,58,40,29,10,4,10,11,41,0,0,0,1,0,1,4,1,19,12,0,3,12,6,63,45,1,536
2008-08-01,102,75,23,30,9,3,10,8,29,0,0,0,0,0,0,0,2,18,3,2,1,9,2,20,22,2,371
2008-09-01,106,43,38,25,30,2,6,11,28,1,0,0,1,0,0,0,0,27,3,5,3,9,1,13,49,2,403
2008-10-01,73,41,12,33,14,3,7,2,30,3,0,0,0,0,1,2,1,16,1,1,2,5,3,8,19,1,277
2008-11-01,65,29,21,38,19,1,3,12,25,0,0,0,0,0,0,0,7,24,5,1,0,14,2,18,25,1,310
2008-12-01,115,69,30,56,54,4,6,38,74,1,0,13,0,0,3,0,1,24,8,2,1,4,4,23,75,1,516
