Date,Report Week,Colombo,Gampaha,Kalutara,Kandy,Matale,NuwaraEliya,Galle,Hambantota,Matara,Jaffna,Kilinochchi,Mannar,Vavuniya,Mullaitivu,Batticaloa,Ampara,Trincomalee,Kurunegala,Puttalam,Anuradhapura,Polonnaruwa,Badulla,Monaragala,Ratnapura,Kegalle,Kalmunai,SRILANKA
2007-01-02 12:00:00,2007wk02,40,11,20,41,2,4,10,1,8,0,0,2,3,0,0,0,2,11,13,0,4,0,0,5,4,0,181
2007-01-09 12:00:00,2007wk03,43,13,7,28,7,2,4,2,8,0,0,0,0,0,0,0,1,17,9,0,0,2,1,3,16,0,163
2007-01-16 12:00:00,2007wk04,38,16,6,14,7,2,4,1,4,0,0,2,0,0,0,0,2,10,11,0,2,2,1,2,7,0,131
2007-01-23 12:00:00,2007wk05,52,12,15,17,4,3,3,1,4,0,0,0,2,0,0,0,2,6,8,2,2,1,3,2,5,0,144
2007-01-30 12:00:00,2007wk06,69,12,12,16,4,1,4,1,6,0,0,0,0,0,1,0,1,6,2,2,1,1,0,3,2,0,144
2007-02-06 12:00:00,2007wk07,36,19,8,10,2,0,4,2,2,0,0,1,2,0,0,0,1,8,4,1,0,1,0,4,3,0,108
2007-02-13 12:00:00,2007wk08,42,5,3,5,4,0,0,2,2,0,0,0,0,0,0,0,0,2,2,1,2,1,0,2,2,0,75
2007-02-20 12:00:00,2007wk09,28,8,7,5,0,0,4,1,2,0,0,0,2,0,1,0,1,4,3,1,1,0,0,2,2,0,72
2007-02-27 12:00:00,2007wk10,20,5,5,7,1,0,1,1,3,0,0,0,0,0,1,1,0,8,2,0,1,1,0,1,1,0,59
2007-03-06 12:00:00,2007wk11,19,8,8,7,1,0,2,0,2,0,0,0,0,0,0,0,5,6,1,2,1,1,0,4,8,0,75
2007-03-13 12:00:00,2007wk12,11,9,4,3,1,1,1,3,2,0,0,0,0,0,1,0,0,11,2,1,1,1,0,6,3,0,61
2007-03-20 12:00:00,2007wk13,11,4,5,4,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,3,1,0,35
2007-03-27 12:00:00,2007wk14,3,1,2,2,0,0,1,1,3,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,2,0,22
2007-04-03 12:00:00,2007wk15,10,2,5,7,0,0,0,3,0,0,0,0,0,0,0,0,0,6,1,1,1,1,0,0,1,0,38
2007-04-10 12:00:00,2007wk16,7,3,1,3,1,0,0,0,1,0,0,0,0,0,5,0,1,5,0,1,0,0,0,3,0,0,31
2007-04-17 12:00:00,2007wk17,10,8,1,1,0,0,0,2,0,0,0,0,0,0,5,0,3,2,1,1,6,0,0,3,2,0,45
2007-04-24 12:00:00,2007wk18,5,2,3,3,0,0,0,0,5,0,0,0,0,0,1,0,0,3,1,1,3,0,0,0,0,0,27
2007-05-01 12:00:00,2007wk19,11,2,1,2,0,0,0,0,2,0,0,0,0,0,6,0,1,3,0,1,0,0,1,3,1,0,34
2007-05-08 12:00:00,2007wk20,15,3,8,1,0,1,0,1,2,0,0,0,0,0,5,0,0,3,1,4,0,0,1,4,6,0,55
2007-05-15 12:00:00,2007wk21,12,5,3,1,0,3,0,1,1,0,0,0,0,0,2,0,0,5,3,3,0,1,0,3,4,0,47
2007-05-22 12:00:00,2007wk22,6,7,1,3,2,3,2,0,3,0,0,0,0,0,7,0,0,1,1,0,0,2,1,2,1,0,42
2007-05-29 12:00:00,2007wk23,16,4,2,3,0,1,2,0,2,0,0,0,0,0,6,0,0,5,0,5,0,1,1,2,11,0,61
2007-06-05 12:00:00,2007wk24,18,11,5,4,1,0,0,0,4,0,0,0,0,0,6,0,1,8,3,10,1,0,0,2,5,1,80
2007-06-12 12:00:00,2007wk25,28,10,4,9,2,0,1,2,1,0,0,0,0,0,0,1,2,14,2,7,1,0,0,3,8,0,95
