,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
96,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,1990,15901.03131044712,18563.38511337195,13408.58508968979
99,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,1991,16401.530008944686,19167.73368521504,13850.751812064642
102,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,1992,16534.989651179167,19374.458007568428,13947.833773458571
105,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,1993,16897.201662637926,19873.43580362389,14273.36061675867
108,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,1994,17649.40251276183,20836.45169935745,14956.443164721364
111,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,1995,17506.698541071095,20630.85800046945,14805.26930897956
114,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,1996,17809.509955060377,20997.94114136918,15072.622585307285
117,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,1997,18271.904377138504,21510.69226608349,15498.167764398297
120,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,1998,18706.246353414503,21889.48557498356,15886.465536996491
123,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,1999,18834.729965586303,21959.481899146813,15960.542882693866
126,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,2000,19903.44144205132,23343.958289252907,16886.278840533774
129,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,2001,19969.60341247293,23338.09255936784,16971.60057101385
132,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,2002,20019.30243932066,23367.650685488952,16947.052030053248
135,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,2003,20162.01956124154,23529.70074637481,17134.654158728765
138,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,2004,20630.920990340444,24035.83617803429,17511.924657294974
141,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,2005,19788.0894223288,23005.142990305496,16760.700272239486
144,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,2006,19525.24101810615,22673.508513996087,16596.091340756877
147,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,2007,19084.779123132263,22159.60163379116,16251.513284108418
150,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,2008,18546.4457358748,21599.03601055229,15800.284706348615
153,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,2009,18655.72976689807,21829.34924940554,15954.775472594069
156,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,2010,18681.625610517945,21800.075743598936,16030.475729054637
159,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,2011,18353.76349471252,21321.00519231667,15794.652500996128
162,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,2012,18155.349300180467,20991.88015985444,15638.314255747047
165,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,2013,17457.558091367147,19979.99418592601,15078.096525511904
168,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,2014,16742.832280616465,19081.87239294839,14507.450908315766
171,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,2015,16404.959551489657,18616.48406687464,14234.89246620038
174,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,2016,16544.302600269042,18749.622988852083,14357.433941284611
177,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,2017,16612.567451353905,18775.26110843417,14540.311347842811
180,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,2018,16537.31018520903,18692.7559018674,14476.637783945387
183,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,2019,16839.046299865346,19074.68033960474,14671.930263516477
186,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,2020,17341.261734975258,19683.87975577051,15049.120725170927
189,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,1,Number,2021,17730.25706263331,20074.50458466893,15595.040256950531
