,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
98,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,3,Rate,1990,327.81328163722,382.6999691719301,276.42938338692
101,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,3,Rate,1991,326.78494754737,381.89893525232,275.96310843737
104,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,3,Rate,1992,318.52490467861,373.22354112393,268.68673745116
107,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,3,Rate,1993,314.88269238721,370.34540379939,265.98689594599
110,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,3,Rate,1994,318.34691296979,375.832556991,269.77329725776
113,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,3,Rate,1995,305.76571925657,360.33116812942,258.58352495344
116,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,3,Rate,1996,301.27859471436,355.21641049809,254.97942181565
119,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,3,Rate,1997,299.42567409279,352.50039618384,253.97184848801
122,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,3,Rate,1998,296.93211121578,347.46100539945,252.17254507054
125,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,3,Rate,1999,289.56107742221,337.60033990233,245.37394493048
128,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,3,Rate,2000,296.30509181125,347.52450847627,251.38820423404
131,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,3,Rate,2001,287.80296398431,336.34980493057003,244.59559095924
134,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,3,Rate,2002,279.19980284016003,325.89764223811,236.3525702184
137,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,3,Rate,2003,271.98860467683,317.41911840878,231.14900082786
140,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,3,Rate,2004,269.1193025304,313.53459552272,228.43366769436
143,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,3,Rate,2005,249.5414578885,290.11072257721,211.36399234417
146,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,3,Rate,2006,238.00862642912,276.38535231093,202.30290117509003
149,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,3,Rate,2007,224.86147724018,261.08977873307,191.47925479649
152,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,3,Rate,2008,211.19852970161,245.96004611153,179.92649084201
155,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,3,Rate,2009,205.31434479652,240.24139470698,175.5891789526
158,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,3,Rate,2010,198.70704554926,231.87642949668003,170.50809909584
161,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,3,Rate,2011,188.69436779058,219.20047060554,162.38424173908
164,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,3,Rate,2012,180.44071101134,208.63216228351,155.42463527803
167,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,3,Rate,2013,167.7575523407,191.99677886622,144.89223256988998
170,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,3,Rate,2014,155.59116326269,177.32786622286,134.81776111527
173,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,3,Rate,2015,147.46446717494,167.34389956744002,127.95769634374
176,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,3,Rate,2016,143.88712015873,163.06696759065,124.86774889182
179,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,3,Rate,2017,139.82343053584,158.02623074818,122.38181844366
182,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,3,Rate,2018,134.73472466389,152.2958263128,117.94577135182
185,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,3,Rate,2019,132.83413661619002,150.46984544258,115.73892929214
188,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,3,Rate,2020,132.51092695494,150.41172853335,114.99583868959
191,6,Incidence,200,Benin,3,Both,22,All ages,332,Meningitis,3,Rate,2021,131.34326865978,148.7091269778,115.52588070172
