year,index,val
1990,0,-20.97401193580248
1991,1,-14.593579167190683
1992,2,-15.444855177488876
1993,3,-11.678300610427073
1994,4,-0.805313169385272
1995,5,-5.977740024143543
1996,6,-3.056097707891695
1997,7,2.499748529000101
1998,8,7.414952510451883
1999,9,7.452685575343651
2000,10,21.605466822845415
2001,11,20.512105854367235
2002,12,19.317711568679044
2003,13,19.51528026381078
2004,14,24.054744975842567
2005,15,11.885667192404384
2006,16,7.761602591486167
2007,17,2.0232202610079355
2008,18,-4.230960419100256
2009,19,-2.7063784657284486
2010,20,-1.9049108545266904
2011,21,-4.5088217547449005
2012,22,-5.353711675523101
2013,23,-10.62810348770131
2014,24,-15.38572570724952
2015,25,-16.103654936537737
2016,26,-12.272235094285946
2017,27,-8.92715785871414
2018,28,-6.607096872202362
2019,29,-1.0989180614405711
2020,30,5.986639135771213
2021,31,12.227747699073007
