,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
384,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,1,Number,1990,25984.47467631806,30050.49077342645,22173.31530237992
387,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,1,Number,1991,26676.87376853885,30919.304216345503,22810.27549237391
390,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,1,Number,1992,27381.66349410032,31695.811619973225,23469.690628582903
393,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,1,Number,1993,28994.532229216493,33431.24405639538,25020.887362849546
396,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,1,Number,1994,27750.499746563062,31722.131392072864,24054.020691983453
399,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,1,Number,1995,28200.80323715761,32181.53415298411,24341.48072091208
402,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,1,Number,1996,29029.611261261016,33014.38226566879,25138.62896740212
405,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,1,Number,1997,30123.35266718116,34324.11631109757,26109.36774753429
408,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,1,Number,1998,31789.193846931383,36422.10397340468,27584.099555311645
411,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,1,Number,1999,32304.69456633653,37148.04638284822,27992.723374648143
414,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,1,Number,2000,32753.316217309373,37732.762169427806,28430.546052393456
417,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,1,Number,2001,33600.47091362326,38736.074435061695,29250.126821794584
420,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,1,Number,2002,36146.93578678962,41747.98160941501,31487.8230053815
423,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,1,Number,2003,37012.95242504522,42745.489101908526,32124.91622852684
426,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,1,Number,2004,37472.58720120628,43238.9982692326,32600.51043188208
429,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,1,Number,2005,38490.31212383573,44404.275679831466,33327.37179605983
432,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,1,Number,2006,39551.063963092805,45414.85963092245,34346.25087916007
435,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,1,Number,2007,40007.64943388409,45931.50386029031,34815.96174985925
438,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,1,Number,2008,40719.91073582631,46620.46143743671,35255.804231170325
441,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,1,Number,2009,40085.45408611847,45899.79490652296,34314.17269527723
444,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,1,Number,2010,39780.72165368706,45540.72952306995,33871.04922466671
447,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,1,Number,2011,38229.71964928517,43797.638358665135,32759.83673932268
450,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,1,Number,2012,35662.46832829148,40438.59523415617,30753.8513977431
453,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,1,Number,2013,33490.45980513536,37632.748039994665,29269.16598432152
456,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,1,Number,2014,31718.783672354948,35645.33331022015,27869.26815943919
459,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,1,Number,2015,30315.842729528125,33977.61996932073,26615.874309900963
462,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,1,Number,2016,30867.364804815294,34812.50311334261,27180.30661466389
465,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,1,Number,2017,31085.86750381024,35106.64670616631,27497.97226710412
468,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,1,Number,2018,31406.067920059268,35433.70667405269,27821.832009373386
471,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,1,Number,2019,31762.509242838376,35802.71651038683,28039.78176847657
474,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,1,Number,2020,32661.25999193112,36908.23553212616,29011.264289973744
477,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,1,Number,2021,33124.440819944946,37360.61336967498,29110.475496014864
