,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
386,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,3,Rate,1990,248.96768389495,287.92581651016,212.45143586209
389,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,3,Rate,1991,246.97494838219,286.2514411959,211.17791616784
392,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,3,Rate,1992,244.74901436211,283.31071467104,209.7821284659
395,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,3,Rate,1993,250.07188326108,288.33761120379,215.80001271365
398,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,3,Rate,1994,230.82715756382,263.86297500841,200.08004450441
401,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,3,Rate,1995,226.12868689508,258.04825483464,195.18263455877
404,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,3,Rate,1996,224.31375128286,255.10434382499,194.24787039126
407,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,3,Rate,1997,224.23157775615,255.50113364068,194.3523614031
410,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,3,Rate,1998,227.89438966862,261.10738118851003,197.74837836358
413,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,3,Rate,1999,222.97643125854,256.40665921373,193.21394747966
416,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,3,Rate,2000,217.60948352987,250.69238282215,188.88946700499
419,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,3,Rate,2001,214.84030465479003,247.67718447021,187.02434777597
422,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,3,Rate,2002,222.39652089423,256.85734246064004,193.73100747005
425,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,3,Rate,2003,219.11334514957,253.04944603219,190.17661105897
428,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,3,Rate,2004,213.4361384651,246.28042820024,185.68579268922
431,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,3,Rate,2005,210.93210454259,243.34142289368,182.63849482953
434,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,3,Rate,2006,208.5748005227,239.49786274082,181.12692069443
437,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,3,Rate,2007,203.07832053549,233.14773038671,176.72537977203
440,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,3,Rate,2008,198.998360485,227.83437447326003,172.29525096700002
443,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,3,Rate,2009,188.65840631694,216.02305261992,161.49641515517
446,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,3,Rate,2010,180.37677436358,206.49424022639,153.58068806902
449,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,3,Rate,2011,167.08724546862,191.42245401,143.18051330197
452,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,3,Rate,2012,150.3231746924,170.45533583767,129.63254628282
455,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,3,Rate,2013,136.23422754971,153.08444224511,119.06262983845
458,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,3,Rate,2014,124.61233189232,140.03841227799,109.48889242897
461,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,3,Rate,2015,115.11122098278,129.01522664741,101.06220093142
464,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,3,Rate,2016,113.35446518958,127.84222745532,99.81445256102
467,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,3,Rate,2017,110.47856714161,124.76833804843,97.72725741037
470,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,3,Rate,2018,108.10079728429,121.96407241915,95.76373042873
473,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,3,Rate,2019,105.97083387866,119.45037763609,93.55051369095
476,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,3,Rate,2020,105.74860857003,119.49920343739,93.93087811922
479,6,Incidence,202,Cameroon,3,Both,22,All ages,332,Meningitis,3,Rate,2021,104.231666806,117.56150165925,91.6010446473
