year,index,val
1990,0,-17.990381431642305
1991,1,-14.78905471212471
1992,2,-11.820926499927083
1993,3,-1.3039953686794945
1994,4,-15.354658833661858
1995,5,-14.859067270124285
1996,6,-11.479940650066652
1997,7,-6.368051944499086
1998,8,2.488822200248535
1999,9,2.7649260224461614
2000,10,2.5920405260537507
2001,11,5.016923883251394
2002,12,17.767202354968987
2003,13,19.67808884258656
2004,14,19.19494439039417
2005,15,21.884972700161796
2006,16,24.72173091254939
2007,17,24.41931315761701
2008,18,25.533415339404627
2009,19,20.387523403622197
2010,20,17.299953682539837
2011,21,9.204487019857453
2012,22,-2.3655215240849827
2013,23,-11.260406434497355
2014,24,-17.688239859609737
2015,25,-21.995288536872152
2016,26,-18.557982097794536
2017,27,-16.239817913486917
2018,28,-13.423525538529333
2019,29,-10.35942671188171
2020,30,-5.387589788234095
2021,31,-1.710469319986501
