,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
0,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,1990,22234.055230837585,25657.09811132053,18961.516019031835
3,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,1991,22712.828813589163,26270.097477606607,19400.28019316215
6,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,1992,23354.97155218949,26820.037313752386,20029.942768404504
9,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,1993,24229.14564780765,27744.223972173168,20775.55206004656
12,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,1994,25235.350454869986,29012.74958385956,21649.25733048134
15,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,1995,26152.72227002773,30070.850615757496,22409.2906934954
18,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,1996,26706.87910076297,30543.02218778562,22970.01487893588
21,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,1997,28661.97933070917,32763.18880093989,24598.36599532956
24,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,1998,30059.18006578353,34474.17391158641,25952.87811230964
27,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,1999,32259.651622327576,37021.70355138956,27730.125835393068
30,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2000,29335.591408260767,33715.95442296714,25098.04846480473
33,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2001,29352.742394281304,33589.70572755292,25316.08980926792
36,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2002,29995.50097342552,34229.464381231664,25851.0937556753
39,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2003,29993.61579705324,34099.5737262756,25963.004036414983
42,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2004,30407.30671522936,34483.26496857498,26348.107417233303
45,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2005,30963.95255913451,35246.42033158131,26910.799636437976
48,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2006,31573.885529609823,35903.1887999582,27416.90586080542
51,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2007,31491.20054838103,35733.371775064894,27235.97711090132
54,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2008,31157.627999729,35336.6213598174,26836.39981310364
57,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2009,28023.227216506824,31965.07625181462,24033.639147114263
60,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2010,26628.1677854742,30503.9560276762,22853.874147366907
63,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2011,25494.279607109373,29036.80634720932,21987.015429549545
66,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2012,25820.215435104183,29431.2787385344,22351.229307509813
69,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2013,26984.55689756439,30630.48089320381,23402.056838060165
72,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2014,26977.494542583045,30702.93264449644,23489.516786745247
75,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2015,26673.128017378807,30401.36546732524,23231.85843748645
78,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2016,25294.76703579794,28686.754448660955,22128.006778870487
81,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2017,23736.961851525088,26729.24292781121,20821.910931813363
84,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2018,21969.577068915893,24566.5178017937,19271.5795022925
87,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2019,20818.19151792719,23317.88975684585,18288.74602130865
90,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2020,20330.940676576087,23015.110438964184,17819.89624545676
93,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2021,20148.182897801973,22611.984297948507,17713.538854935858
