,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
2,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,1990,182.27425581698,210.33627991433,155.44605721484
5,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,1991,179.2310673557,207.30212203389,153.09114309617
8,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,1992,177.55968609123,203.90337002737,152.28065435386
11,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,1993,177.67300993026,203.44917864494,152.3477105271
14,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,1994,178.71496229352,205.46623504133,153.31850510334
17,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,1995,179.09920799714,205.93135481176,153.46342050144
20,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,1996,177.06752439136,202.50128462472,152.29198643917
23,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,1997,184.19147400939,210.54721897826,158.07733438869
26,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,1998,187.48430024514,215.02137976478,161.87258539937
29,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,1999,195.5750387562,224.44511154833,168.11466219361
32,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2000,173.08356225925,198.92823755564,148.08154277811
35,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2001,168.71926469361,193.07328683305,145.51662669752
38,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2002,168.1275542217,191.8593102957,144.89776886701
41,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2003,164.07957613674,186.54115066715,142.03018156783
44,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2004,162.45634012584,184.23285807088,140.76935982306
47,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2005,161.62043845029,183.97334438859,140.46447164595
50,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2006,161.01163008974,183.08899450084,139.81303316392
53,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2007,156.88384378458,178.01762453747,135.68503912141
56,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2008,151.6305129886,171.96784120151,130.6009902443
59,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2009,133.2219476042,151.96143116148,114.25551348737
62,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2010,123.68377685156,141.68622192905002,106.15275872560998
65,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2011,115.72440453428,131.80474898263,99.80412497559
68,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2012,114.53195355534,130.54971822478,99.1444073496
71,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2013,116.94165884995,132.74182194728002,101.41635297300002
74,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2014,114.20270185971,129.97344351172,99.43719118137
77,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2015,110.27520976438,125.68893126628,96.04790487044
80,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2016,102.11207729975,115.80514197245,89.32822885838999
83,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2017,93.55542003067,105.3490149605,82.06621535021
86,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2018,84.54231687843999,94.53574486591,74.16000662735
89,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2019,78.22774389571,87.62076698719,68.72294064048
92,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2020,74.6413885845,84.49583464523,65.42254101037
95,6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2021,72.31452481254,81.15743776344,63.57626151899
