year,index,val
1990,0,-21.655480721388898
1991,1,-20.85735225712554
1992,2,-18.687416596052202
1993,3,-14.732775831478818
1994,4,-9.849506542675499
1995,5,-5.623943913512107
1996,6,-3.814310593748786
1997,7,7.150955949824578
1998,8,14.285099111117916
1999,9,26.217154547721293
2000,10,7.566994976314618
2001,11,7.044014336217998
2002,12,10.293620789851332
2003,13,10.086959630434706
2004,14,12.305040545078072
2005,15,15.31045579507142
2006,16,18.542964360064758
2007,17,18.25649498044811
2008,18,16.844481110011486
2009,19,2.277232651154833
2010,20,-3.4196211759418276
2011,21,-7.537676567678474
2012,22,-4.888810621075123
2013,23,1.3622115990782362
2014,24,2.464571534381605
2015,25,2.3783963645949484
2016,26,-1.9434191744916944
2017,27,-6.658759518028333
2018,28,-11.830545744714996
2019,29,-14.303801801901628
2020,30,-14.048840187568274
2021,31,-12.534387033984927
