,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
768,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,1,Number,1990,2423.0002171558745,2791.063001643005,2106.588471174084
771,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,1,Number,1991,2487.6768197888846,2838.5676302461097,2169.6898635114712
774,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,1,Number,1992,2572.946023544745,2929.3397499823554,2245.618683712163
777,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,1,Number,1993,2597.075108080904,2964.1246315064154,2266.05578824507
780,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,1,Number,1994,2481.815763711323,2847.9855094727536,2162.314573224819
783,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,1,Number,1995,2538.6317231669664,2915.345861770276,2206.627222436517
786,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,1,Number,1996,2483.414081349288,2854.462488702979,2161.038265748187
789,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,1,Number,1997,2855.236074114612,3281.902747559984,2481.269326314161
792,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,1,Number,1998,2570.54903872748,2955.0855978453,2240.5028443955566
795,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,1,Number,1999,2650.603454049807,3054.530862344136,2305.3671865965816
798,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,1,Number,2000,2648.205666969602,3056.9686729828463,2298.5695564345406
801,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,1,Number,2001,2658.68096761621,3052.9876162784494,2312.667209547989
804,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,1,Number,2002,2664.455267300609,3048.242104881268,2329.06054951853
807,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,1,Number,2003,2696.082245469789,3084.053066851829,2357.5288186322405
810,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,1,Number,2004,2833.678420089491,3262.577891052638,2470.831371389
813,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,1,Number,2005,2865.1550109308564,3309.837236943093,2492.8507349580545
816,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,1,Number,2006,2845.987677082455,3254.781784894497,2495.867447401469
819,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,1,Number,2007,2821.651120311119,3213.800570939979,2465.0531237880487
822,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,1,Number,2008,2752.3361716975355,3111.3371264597863,2423.590699647759
825,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,1,Number,2009,2665.5380961894,3012.0069095505464,2340.3988462813795
828,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,1,Number,2010,2569.5894697155427,2904.996281982274,2241.5996403769163
831,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,1,Number,2011,2456.170204699469,2772.535847173098,2155.1743682857546
834,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,1,Number,2012,2338.492998780492,2636.669957718741,2057.132216855716
837,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,1,Number,2013,2245.572223451671,2531.9621542162386,1987.049779445568
840,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,1,Number,2014,2221.060296971514,2499.5251972906053,1974.6371254638204
843,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,1,Number,2015,2115.882122304079,2380.555712605874,1876.6262376876512
846,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,1,Number,2016,2164.077117059903,2435.574512776496,1915.1378756303768
849,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,1,Number,2017,2232.7987852472256,2523.5388471438782,1974.7311818904257
852,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,1,Number,2018,2252.566964836389,2550.054853437735,1990.2663573348063
855,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,1,Number,2019,2303.7051230262687,2610.201962009985,2034.489982550376
858,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,1,Number,2020,2336.7694373381987,2635.521208560194,2061.264410086591
861,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,1,Number,2021,2359.086305803284,2658.9971929847734,2088.3738800318165
