,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
770,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,3,Rate,1990,246.84157050219,284.33772717726,214.60732976606
773,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,3,Rate,1991,243.46575332947,277.80698882469,212.34477602117
776,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,3,Rate,1992,242.30005044383,275.86244044481,211.47490672635
779,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,3,Rate,1993,235.80997036646,269.13743824472,205.75398324528
782,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,3,Rate,1994,217.80472734983,249.93986921067,189.76522872976
785,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,3,Rate,1995,215.80666507975,247.83077523266,187.58327866247
788,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,3,Rate,1996,204.86715166187,235.47647731324005,178.27303044669
791,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,3,Rate,1997,228.92966736421,263.13932887444,198.94542754762
794,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,3,Rate,1998,200.54702229362,230.54748551461,174.79774441741
797,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,3,Rate,1999,201.36482811654,232.05096225648,175.13742637182
800,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,3,Rate,2000,196.0034284357,226.25747992256,170.12557565993
803,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,3,Rate,2001,191.74863553029,220.18670793628,166.79352929813
806,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,3,Rate,2002,187.23160017439,214.20034857409,163.66337199993
809,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,3,Rate,2003,184.51228020262,211.06391119443,161.34263659802
812,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,3,Rate,2004,188.73426819907,217.30068110229,164.56720967924
815,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,3,Rate,2005,185.59974792066,214.40548748372,161.4825258134
818,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,3,Rate,2006,179.20348344963,204.94404751585,157.15744112476
821,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,3,Rate,2007,172.63176621515,196.62390748132,150.81470260816
824,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,3,Rate,2008,163.56432314955,184.89883481987,144.02781769748
827,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,3,Rate,2009,153.82919546997,173.82403962207,135.06528836222
830,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,3,Rate,2010,143.99184705896,162.78700752472,125.6123113784
833,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,3,Rate,2011,133.6519268301,150.86688922096,117.27330883874
836,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,3,Rate,2012,123.59834708716,139.35814593345,108.72734785851002
839,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,3,Rate,2013,115.34043145977,130.05041844445,102.06181591479
842,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,3,Rate,2014,110.93832814238002,124.84719434014,98.62989387795
845,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,3,Rate,2015,102.84103779131,115.70532092677,91.21216526941
848,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,3,Rate,2016,102.41458629193,115.26315496929,90.63357847947
851,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,3,Rate,2017,102.94145660928,116.34580171376,91.0434498705
854,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,3,Rate,2018,101.22291135357,114.5910334324,89.43598934167
857,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,3,Rate,2019,100.94101196784,114.37072603268,89.14486304015
860,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,3,Rate,2020,99.92743068796,112.70297303916,88.14599043332001
863,6,Incidence,206,Gambia,3,Both,22,All ages,332,Meningitis,3,Rate,2021,98.53525606049,111.06205340192,87.22803168021
