year,index,val
1990,0,-2.7478167742942787
1991,1,-0.8621023215063133
1992,2,3.233726418361641
1993,3,2.0051779664995877
1994,4,-10.73853342462246
1995,5,-7.475064069194502
1996,6,-13.15304586156654
1997,7,16.17100146628141
1998,8,-6.950111978800635
1999,9,-0.870774530372671
2000,10,-0.9706425857047236
2001,11,0.036096134393233115
2002,12,0.7805924040011973
2003,13,3.32280405773912
2004,14,12.806323679697101
2005,15,14.93333502679505
2006,16,13.798602181273026
2007,17,12.488416572300963
2008,18,8.682505132208945
2009,19,4.208909078136855
2010,20,-0.3669077073651579
2011,21,-5.445296310717225
2012,22,-10.237344428149243
2013,23,-13.233728430031306
2014,24,-12.374300121913336
2015,25,-15.210058847475395
2016,26,-10.374978721347446
2017,27,-4.586576778489487
2018,28,-1.0435904086915286
2019,29,3.9360418310864276
2020,30,8.183992176714384
2021,31,12.053349174752341
