,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
192,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,1,Number,1990,34739.79072940177,39890.94778772969,30197.410738050286
195,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,1,Number,1991,34713.563332005935,39651.99223929053,30344.434043808644
198,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,1,Number,1992,35993.54870557692,41091.10284028031,31619.193622565253
201,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,1,Number,1993,35517.95168544292,40694.60085535192,31267.9112168688
204,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,1,Number,1994,35431.41164740229,40503.16051625238,31165.728480746708
207,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,1,Number,1995,35190.24066368014,40369.42666710532,30906.779516696075
210,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,1,Number,1996,35638.40700056327,40593.010921735695,31371.21011603996
213,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,1,Number,1997,43082.396642949774,49129.5972002075,37774.0048184014
216,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,1,Number,1998,37086.61733967684,42303.06906446937,32613.5287496828
219,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,1,Number,1999,37121.99410879945,42132.61998516788,32376.02521636263
222,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,1,Number,2000,37906.23564154266,42964.34009780406,32876.92482729243
225,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,1,Number,2001,36495.69713255946,41334.475275554745,31856.67716000921
228,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,1,Number,2002,35604.307692140035,40313.229508044766,31434.05664005244
231,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,1,Number,2003,34834.692599052345,39346.16836188102,30967.376983836777
234,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,1,Number,2004,34493.065595192864,38986.38964587261,30702.630502372624
237,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,1,Number,2005,34874.5365427399,39206.95187025759,31088.644115793213
240,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,1,Number,2006,35917.61542414697,40377.03645617492,32078.43244102237
243,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,1,Number,2007,37007.92132714766,41504.399006275286,33117.87164706235
246,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,1,Number,2008,36131.42396249218,40569.974102507695,32334.235591528217
249,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,1,Number,2009,36038.18576538465,40353.822030561416,32122.310199425985
252,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,1,Number,2010,35681.57123535104,39957.354068638015,31837.29684793782
255,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,1,Number,2011,35786.83403965262,39942.8663961198,32070.94213197444
258,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,1,Number,2012,34400.17562937894,38365.27026535766,30958.855521434423
261,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,1,Number,2013,33325.41286935569,37096.3464464703,30012.469877999247
264,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,1,Number,2014,32383.609143192185,35985.260673702694,29201.727103760968
267,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,1,Number,2015,31698.30779476676,35357.09104117143,28561.75859713514
270,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,1,Number,2016,31188.87324835791,34799.03736933399,28065.908834764425
273,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,1,Number,2017,31098.21750073469,34756.13431759784,27800.39626797437
276,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,1,Number,2018,30795.4076938121,34523.29820665087,27501.214496536915
279,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,1,Number,2019,30543.904518136173,34227.6707462271,27097.074778524464
282,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,1,Number,2020,30926.95115408013,34702.22609543704,27630.435881469515
285,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,1,Number,2021,31540.174129792053,35426.40494398586,28003.148403805066
