,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
194,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,3,Rate,1990,232.0391496021,266.44551988198003,201.69901316971
197,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,3,Rate,1991,226.4265237593,258.63846580668,197.9279583104
200,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,3,Rate,1992,229.24939260291,261.71663273809,201.38833744514
203,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,3,Rate,1993,220.86593872331,253.05657540414,194.4373544959
206,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,3,Rate,1994,215.08866368431,245.87704145484,189.19355961261
209,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,3,Rate,1995,208.50902693047,239.19671230855,183.12868571064
212,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,3,Rate,1996,206.04977459168,234.69569642349,181.37821853193
215,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,3,Rate,1997,243.00171707075,277.11031439562,213.06029252698
218,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,3,Rate,1998,204.00051773477,232.69439517443,179.39562104456
221,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,3,Rate,1999,199.04286338259,225.90912813249,173.5956518156
224,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,3,Rate,2000,198.03397267332,224.45908460325,171.75928769079
227,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,3,Rate,2001,185.68584348057,210.30498139247,162.08305180358
230,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,3,Rate,2002,176.34322508448,199.66586533541,155.68854682768
233,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,3,Rate,2003,167.87613084893002,189.61793589942,149.2386768106
236,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,3,Rate,2004,161.66816320896,182.72826423046,143.90248571277002
239,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,3,Rate,2005,158.90066735637,178.64067697525,141.65080849605
242,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,3,Rate,2006,159.03394435401,178.77911139486,142.03503154499
245,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,3,Rate,2007,159.18949341929002,178.53108241543,142.45645314733
248,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,3,Rate,2008,150.95429600855002,169.49821535089,135.08993655386
251,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,3,Rate,2009,146.22223472366,163.73260505852,130.333863431
254,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,3,Rate,2010,140.60107060433,157.44953392078,125.45294018704
257,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,3,Rate,2011,136.96408848656998,152.87013881764,122.74255250253
260,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,3,Rate,2012,127.88817041882,142.62904569795,115.09451095696
263,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,3,Rate,2013,120.36950370976,133.98990220202998,108.40334127236
266,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,3,Rate,2014,113.6760884336,126.31895526413,102.50673721953
269,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,3,Rate,2015,108.181685469,120.66857722753,97.47710209019
272,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,3,Rate,2016,103.53571252906,115.52014401639,93.16860682474
275,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,3,Rate,2017,100.46846855741,112.28603658014,89.81425505389001
278,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,3,Rate,2018,96.88087273031,108.60863713979,86.51749923426
281,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,3,Rate,2019,93.62910978381,104.92130565821,83.06321766269001
284,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,3,Rate,2020,92.47033531983,103.75825497323,82.61388774676
287,6,Incidence,207,Ghana,3,Both,22,All ages,332,Meningitis,3,Rate,2021,92.09901849632,103.44702317647,81.77071160686
