year,index,val
1990,0,-7.640254735938385
1991,1,-8.223051395193863
1992,2,-0.3703533680393605
1993,3,-3.723978064094865
1994,4,-4.471423919550347
1995,5,-6.02123148984586
1996,6,-3.4506546450913334
1997,7,38.5311170175232
1998,8,4.559746865087703
1999,9,4.631921696452224
2000,10,8.652860170726711
2001,11,1.3345601615212388
2002,12,-2.9782290510242717
2003,13,-6.415494103029744
2004,14,-7.593632559455244
2005,15,-5.33129922850074
2006,16,-0.16819304731623674
2007,17,5.017185201508283
2008,18,1.8118169743127908
2009,19,2.1095848729672753
2010,20,1.5182499371817926
2011,21,2.9110970029662724
2012,22,-1.134991881239202
2013,23,-3.6238294067546803
2014,24,-5.287415499370169
2015,25,-5.751989280425661
2016,26,-5.368133036821135
2017,27,-3.4055478249266287
2018,28,-1.9633144684821247
2019,29,-0.18524823143762603
2020,30,3.685806488126886
2021,31,8.344318848161393
