,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
480,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,1,Number,1990,4062.152621755981,4752.894842768403,3464.0773586542546
483,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,1,Number,1991,4069.54335719372,4761.362794121915,3483.359260606689
486,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,1,Number,1992,4084.569560830687,4769.030288145841,3503.027059222059
489,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,1,Number,1993,4100.60592034262,4776.691869048749,3529.272063437403
492,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,1,Number,1994,4113.808815035506,4780.468893155153,3545.752508395337
495,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,1,Number,1995,4122.130452788231,4780.122616913343,3543.0912063357564
498,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,1,Number,1996,4115.295273829497,4759.393535726808,3544.8356899341525
501,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,1,Number,1997,4104.363234866934,4737.161096116236,3543.916098270264
504,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,1,Number,1998,4199.774501579884,4837.323485613497,3640.0061335693167
507,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,1,Number,1999,6581.928557405131,7632.124647277443,5681.442612273475
510,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,1,Number,2000,4217.3648646957,4869.113503582548,3645.76667149133
513,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,1,Number,2001,4275.568384235161,4940.703797093131,3706.734241111528
516,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,1,Number,2002,4306.003104222213,4948.248978905342,3742.324076568368
519,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,1,Number,2003,4310.287666043439,4933.364774940625,3742.029897372003
522,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,1,Number,2004,4313.319537397537,4939.75902589349,3740.505330815469
525,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,1,Number,2005,4224.20860573646,4864.749375875542,3649.4979194091175
528,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,1,Number,2006,4175.487482699532,4793.808160483442,3619.890553610921
531,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,1,Number,2007,4289.987440760736,4946.475549005121,3709.810156769848
534,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,1,Number,2008,3938.4927943437374,4536.091327977653,3416.840664386932
537,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,1,Number,2009,3713.4519018477295,4283.909165242359,3215.2038625393147
540,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,1,Number,2010,3509.63066341627,4052.028846494117,3038.3786294714696
543,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,1,Number,2011,3338.377055247174,3828.67979676668,2907.9436400955256
546,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,1,Number,2012,3135.165988959504,3566.543023830513,2748.1924455773374
549,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,1,Number,2013,3045.9514194419094,3442.103735527595,2688.9508774041315
552,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,1,Number,2014,2955.758868907808,3321.494041994171,2623.738968459418
555,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,1,Number,2015,2797.2424357269474,3135.8302092382364,2483.3274059300684
558,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,1,Number,2016,2723.126755775518,3055.505789699504,2421.216745685427
561,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,1,Number,2017,2614.470971980716,2940.5849715337536,2331.706101288173
564,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,1,Number,2018,2505.531280920654,2818.278659210944,2229.543009472197
567,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,1,Number,2019,2463.6520947571794,2773.7236873715456,2185.3081548248783
570,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,1,Number,2020,2488.031994565636,2790.21404783404,2219.45085745821
573,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,1,Number,2021,2499.681214591364,2817.146758383208,2217.837040870718
