,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
482,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,3,Rate,1990,403.3481976213,471.93489433331,343.96279242456
485,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,3,Rate,1991,395.38420910078,462.59923960951,338.43238058497
488,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,3,Rate,1992,388.3465734894,453.42270309921,333.0555484561
491,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,3,Rate,1993,381.56047652742,444.47012494841,328.39798714614
494,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,3,Rate,1994,374.68395897571,435.40307563664,322.94563192581
497,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,3,Rate,1995,367.50034928776,426.16233316093,315.87725589956
500,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,3,Rate,1996,359.24828937888003,415.47540879119,309.44952257411
503,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,3,Rate,1997,350.93084035833,405.03625757352,303.01154731148
506,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,3,Rate,1998,351.68413940835,405.07173574148,304.80979967945
509,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,3,Rate,1999,539.84495664387,625.9812702881201,465.98775935462
512,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,3,Rate,2000,338.64479030324003,390.97872114093,292.74675764882
515,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,3,Rate,2001,335.9085311287,388.16466164894,291.21827610271
518,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,3,Rate,2002,330.92004100553,380.27718869949,287.60082306017
521,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,3,Rate,2003,323.93470403867,370.76134636557,281.2279460739
524,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,3,Rate,2004,316.91032608483,362.93639506729,274.8242400854
527,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,3,Rate,2005,303.35090443129,349.34972695226,262.07950361861003
530,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,3,Rate,2006,292.94728557961,336.32793632399,253.96725919293
533,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,3,Rate,2007,293.86462836162,338.83413855647,254.12241832065
536,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,3,Rate,2008,263.29372227655,303.24401559014,228.42055170047
539,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,3,Rate,2009,242.17369506554,279.37620825402,209.68032449612
542,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,3,Rate,2010,223.18735750082,257.67999470515,193.21910549374
545,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,3,Rate,2011,206.95651027075,237.35192177814,180.27258690634
548,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,3,Rate,2012,189.44082470232,215.50656461254,166.05814338514
551,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,3,Rate,2013,179.3894306441,202.72057702331003,158.36410385556
554,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,3,Rate,2014,169.68719224781,190.68368667776,150.62625826225
557,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,3,Rate,2015,156.56304624338,175.51397182803,138.99306635930998
560,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,3,Rate,2016,148.62241242011,166.76294655239,132.14481219888998
563,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,3,Rate,2017,139.17658255344,156.53666513497998,124.12411159817
566,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,3,Rate,2018,130.13692116548,146.38097336439,115.80213149528
569,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,3,Rate,2019,124.90114614703,140.62101884642,110.78978797491
572,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,3,Rate,2020,123.25355304563,138.22322056329,109.94842694523
575,6,Incidence,209,Guinea-Bissau,3,Both,22,All ages,332,Meningitis,3,Rate,2021,121.11379546214,136.49553962720998,107.45796710733
