year,index,val
1990,0,-37.35534846537695
1991,1,-34.76368359214035
1992,2,-31.245665809763807
1993,3,-27.476109377987143
1994,4,-23.796973535940538
1995,5,-20.424929830133976
1996,6,-18.12133634525736
1997,7,-15.883131972050819
1998,8,-4.574179528274158
1999,9,194.1422911010024
2000,10,3.497778154129037
2001,11,11.317172373345613
2002,12,16.88433564393216
2003,13,20.454652070828843
2004,14,23.98592751074534
2005,15,20.982159250962013
2006,16,21.134193793038605
2007,17,32.60718996880519
2008,18,12.59193727749178
2009,19,2.0275634602383548
2010,20,-6.403120710725005
2011,21,-12.078314547038445
2012,22,-19.03834672171186
2013,23,-18.53408738617523
2014,24,-17.680672388708643
2015,25,-20.24916499938203
2016,26,-17.634145428895437
2017,27,-16.52432190180886
2018,28,-15.00832989601227
2019,29,-9.688451520705684
2020,30,-0.7803912283490462
2021,31,7.635504581917544
