,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
864,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,1,Number,1990,23073.71286156645,27036.22137517117,19446.05135745895
867,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,1,Number,1991,23062.02805108099,27039.20522508634,19609.1469255304
870,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,1,Number,1992,23618.30881090724,27527.325131777987,20149.158534143768
873,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,1,Number,1993,24326.633303687704,28291.441215383027,20696.91637511736
876,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,1,Number,1994,24531.310398878784,28743.27801478468,20971.64160767841
879,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,1,Number,1995,24381.27335959354,28717.530027903704,20756.15450505947
882,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,1,Number,1996,24619.34529041112,28798.03999682781,21043.707760924663
885,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,1,Number,1997,24759.697682525977,28832.30434704693,21214.753938164547
888,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,1,Number,1998,24778.69501707719,28675.43000361364,21409.4972090101
891,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,1,Number,1999,25075.676234712904,28889.13661400268,21577.10709528224
894,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,1,Number,2000,25001.86778678307,28685.20808654805,21423.98049769309
897,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,1,Number,2001,24809.488147050903,28409.937297635966,21392.313599879417
900,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,1,Number,2002,24760.175091453995,28362.48841043302,21362.441192148155
903,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,1,Number,2003,25268.12196381938,29158.877689179863,21718.292810207
906,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,1,Number,2004,26524.69537904895,30680.82952337063,22583.880613346984
909,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,1,Number,2005,26732.709052646536,30998.131054077872,22785.90667647091
912,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,1,Number,2006,26925.33917160857,31163.08987831076,23033.188356837643
915,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,1,Number,2007,26820.430437114035,30853.789466923863,23047.01867854251
918,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,1,Number,2008,25309.855343661548,28851.063652146644,21805.22205988968
921,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,1,Number,2009,24024.31011912684,27338.662974062565,20730.5137563479
924,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,1,Number,2010,23873.98238718543,27314.110478993207,20465.697295937105
927,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,1,Number,2011,23412.049730550563,26652.19597352017,20238.62784606104
930,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,1,Number,2012,23017.01356605609,26014.22951899256,20173.95766638797
933,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,1,Number,2013,23382.03817589888,26317.442818906027,20633.60377699034
936,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,1,Number,2014,23603.51912365212,26491.304571497152,20978.53765567881
939,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,1,Number,2015,23760.441626377287,26677.86228055045,21168.02819544843
942,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,1,Number,2016,24109.78042814807,26928.90372897212,21483.856199671787
945,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,1,Number,2017,24125.86927785841,26920.753660366085,21527.36985140672
948,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,1,Number,2018,24011.925304681183,26718.358662008504,21498.876316758564
951,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,1,Number,2019,23818.15155484342,26588.513574945755,21333.20545614513
954,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,1,Number,2020,23841.879587139527,26982.27517518464,21223.228450111703
957,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,1,Number,2021,23654.76207894836,26463.6461487599,20995.53095563021
