,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
866,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,3,Rate,1990,384.94456388862,451.0520915685401,324.42337321539003
869,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,3,Rate,1991,370.74980803899,434.68770936031,315.24059559488
872,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,3,Rate,1992,363.60036527147,423.7790924403,310.19331068887
875,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,3,Rate,1993,361.52654018763,420.44892656678,307.58405720345
878,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,3,Rate,1994,353.12276392754995,413.75310213281,301.88212240549
881,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,3,Rate,1995,339.22446696062,399.55619513646,288.78702700573
884,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,3,Rate,1996,330.79126710499,386.93718408512,282.74816704953
887,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,3,Rate,1997,325.10771175789,378.58315602904,278.56075614408
890,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,3,Rate,1998,321.34859380474,371.88435880327,277.65432430725
893,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,3,Rate,1999,317.99838394375,366.35896359459,273.63111256726
896,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,3,Rate,2000,308.80455201886,354.29844315139,264.61313836514
899,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,3,Rate,2001,302.30088144176,346.17195791689,260.66298582991
902,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,3,Rate,2002,299.46633151369,343.03514920633,258.37183591636
905,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,3,Rate,2003,300.11372655939,346.32488548692004,257.95180975903
908,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,3,Rate,2004,307.26478903037,355.40987280183003,261.61398700277
911,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,3,Rate,2005,303.12722496695,351.49364873868,258.37368916079
914,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,3,Rate,2006,299.43280647174,346.56021976625,256.14875963949
917,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,3,Rate,2007,291.70675088399,335.57472908416,250.66603431454
920,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,3,Rate,2008,268.35397440082,305.90050759352,231.19523691507
923,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,3,Rate,2009,248.05234642196,282.27322512609004,214.04371464972
926,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,3,Rate,2010,239.91976890396,274.49107432763003,205.66846729079
929,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,3,Rate,2011,228.83474318529,260.50467563145,197.81698992091
932,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,3,Rate,2012,218.77041759872,247.25813533741,191.74794899558
935,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,3,Rate,2013,216.16453080396,243.30204390705,190.75553831938
938,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,3,Rate,2014,212.28307094908,238.25495928908,188.67476388747
941,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,3,Rate,2015,207.89502925305,233.42137517625,185.21237568399
944,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,3,Rate,2016,205.23926699365,229.23761080064,182.88556844216
947,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,3,Rate,2017,199.89546152998,223.05254230208,178.36553296435
950,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,3,Rate,2018,193.67721852868,215.50697512376,173.40727632991002
953,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,3,Rate,2019,186.96470333954,208.71113954131,167.45868881578
956,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,3,Rate,2020,182.2116186578,206.21209904074,162.19857142157002
959,6,Incidence,208,Guinea,3,Both,22,All ages,332,Meningitis,3,Rate,2021,176.13701379854,197.05239863782,156.33596792464002
