year,index,val
1990,0,4.574600120824243
1991,1,-2.953203816645612
1992,2,-3.435694672005411
1993,3,1.1574321563147123
1994,4,-0.5793921916052227
1995,5,-7.81073724637497
1996,6,-9.576985189844834
1997,7,-8.59358862478473
1998,8,-5.685754665774596
1999,9,-2.369012614604401
2000,10,-4.895892627334263
2001,11,-4.7326112922741
2002,12,-0.9002093081839462
2003,13,6.4141376496761495
2004,14,20.232152032816316
2005,15,22.761539881556473
2006,16,25.734073298506587
2007,17,24.674969622916763
2008,18,7.989145051906917
2009,19,-5.645531014792937
2010,20,-7.111156620632812
2011,21,-11.529230427142664
2012,22,-14.926604101552499
2013,23,-10.86553898415238
2014,24,-8.0800469268722
2015,25,-5.801136710742043
2016,26,-1.7899470579819194
2017,27,-0.46680060949177005
2018,28,-0.018091698631621966
2019,29,-0.06365497561148459
2020,30,1.8502122548086675
2021,31,2.4425593077088195
