,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
288,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,1,Number,1990,344260.57244223764,413650.4063458144,279198.32780023647
291,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,1,Number,1991,350550.3962685761,420681.8598320441,284530.98269119306
294,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,1,Number,1992,356413.28047459817,427289.8589181969,289990.33480994846
297,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,1,Number,1993,362733.8962674345,434511.8888992665,295459.319093148
300,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,1,Number,1994,370396.85010188667,443519.7469250421,302031.9391982509
303,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,1,Number,1995,378754.5449451256,453544.8266881111,309028.1613281407
306,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,1,Number,1996,444587.3490024504,530518.9185870034,365224.18631439295
309,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,1,Number,1997,392004.0707989996,470760.2388025572,319786.37329123274
312,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,1,Number,1998,402009.3752411918,483295.6805666139,327878.5628184477
315,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,1,Number,1999,408461.8002506715,491664.56296409504,332709.1926465175
318,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,1,Number,2000,418513.2662050933,503831.7328895187,340796.44192774873
321,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,1,Number,2001,425923.9394618876,512131.05495850265,346896.731182161
324,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,1,Number,2002,432605.9299429193,519254.324272071,352950.3606441781
327,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,1,Number,2003,437506.8964962157,523771.50541089085,357215.6252197289
330,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,1,Number,2004,439649.3657749235,526226.8220773814,359039.3017505596
333,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,1,Number,2005,441813.3629120236,529113.1558741495,361393.5015641953
336,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,1,Number,2006,454138.5486359377,543272.388407456,371247.0335380885
339,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,1,Number,2007,456341.1567690381,545479.8371432659,372844.079546925
342,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,1,Number,2008,451420.0424303541,538718.2663520228,369356.4800232559
345,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,1,Number,2009,467505.1483646095,557049.112337893,383719.1801805876
348,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,1,Number,2010,452882.0779613098,540102.522378051,371662.4756212345
351,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,1,Number,2011,448037.4347359196,530985.3892620277,370264.9581309967
354,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,1,Number,2012,435885.1503581111,515528.0812126194,363240.1411615197
357,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,1,Number,2013,429359.05948516267,506227.24313598406,362927.928624354
360,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,1,Number,2014,422445.4964571854,494348.5786229768,359349.65821942256
363,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,1,Number,2015,406904.6789001871,472133.1294793117,348098.24152214965
366,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,1,Number,2016,395192.5608694951,458798.3399896849,337647.6479864398
369,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,1,Number,2017,378537.7613444751,440620.441577916,324375.64411146473
372,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,1,Number,2018,358579.4350712415,418091.91669630527,307050.19235753024
375,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,1,Number,2019,342995.55603133875,397604.0553221755,293224.8741212361
378,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,1,Number,2020,341525.00349418,397815.8644690963,291734.5674448819
381,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,1,Number,2021,335986.1297978117,387956.7518715684,287508.4685540345
