,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
290,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,3,Rate,1990,382.3342660837,459.39830809985,310.07642552273
293,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,3,Rate,1991,378.09323849736,453.73495067776,306.88666121526
296,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,3,Rate,1992,373.12073808429,447.31977249331,303.58410780181
299,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,3,Rate,1993,368.38003556823,441.2752895018101,300.05829506558
302,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,3,Rate,1994,364.76703782116,436.7785100130801,297.44123298679
305,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,3,Rate,1995,361.58801682252,432.9885320479101,295.02188551464
308,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,3,Rate,1996,411.3894874924,490.90444546439,337.95246572992
311,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,3,Rate,1997,351.51135828638,422.13227692106,286.7535079622
314,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,3,Rate,1998,349.26454133567,419.88583997908,284.85991349798
317,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,3,Rate,1999,343.82168352559,413.85739783854,280.05711836447
320,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,3,Rate,2000,341.32654312774,410.90965948249,277.94309243336
323,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,3,Rate,2001,336.5775314293,404.70091083397,274.12792431836
326,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,3,Rate,2002,331.23646229847,397.58115527394006,270.24601544914
329,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,3,Rate,2003,324.57370283787,388.57091925556,265.00793271522
332,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,3,Rate,2004,316.02214137061003,378.25444571363,258.07922814907
335,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,3,Rate,2005,307.71449248927,368.51711581578,251.70360893971
338,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,3,Rate,2006,306.5081257154,366.6665206551,250.56281341662
341,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,3,Rate,2007,298.52072099197,356.83179536884,243.90016502559
344,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,3,Rate,2008,286.26590176939004,341.62566085155,234.22567872479
347,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,3,Rate,2009,287.44201721494,342.49744863412,235.92684611282
350,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,3,Rate,2010,270.01716158449,322.01969818202,221.59244451993
353,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,3,Rate,2011,259.07521718814,307.03942211407,214.1037043065
356,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,3,Rate,2012,244.49203553022,289.16449630163,203.74477411287
359,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,3,Rate,2013,233.66575692816,275.49895438765003,197.51261159848
362,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,3,Rate,2014,223.12632868165,261.10393970862003,189.80050828789
365,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,3,Rate,2015,208.64100967188,242.08699959008,178.48791705343
368,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,3,Rate,2016,196.77319708165,228.44361234152,168.12059173181
371,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,3,Rate,2017,183.08052285875,213.10693163034,156.88490975284
374,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,3,Rate,2018,168.51491694989002,196.48289257163,144.29867584094998
377,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,3,Rate,2019,156.68845156455998,181.63490071145,133.95203138454
380,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,3,Rate,2020,151.76325313028,176.7771879686,129.63790806826
383,6,Incidence,214,Nigeria,3,Both,22,All ages,332,Meningitis,3,Rate,2021,145.34429629231002,167.82627641967,124.37333667676
