year,index,val
1990,0,-30.68889848030119
1991,1,-26.955931962157763
1992,2,-23.954438270744276
1993,3,-20.721146682320807
1994,4,-16.36015032490735
1995,5,-11.565177219063912
1996,6,46.2102875552996
1997,7,-5.693847546236952
1998,8,0.03332960753652969
1999,9,2.5644659019399683
2000,10,8.043319608573483
2001,11,11.268302014616893
2002,12,13.901226988270366
2003,13,15.212461632153804
2004,14,14.634894269377355
2005,15,14.301239492520779
2006,16,21.06886682313427
2007,17,21.055456204187692
2008,18,16.774631086091233
2009,19,25.924740636124625
2010,20,16.473879110158094
2011,21,13.50592881829158
2012,22,6.896741264855024
2013,23,4.04445676727849
2014,24,1.4790226252519574
2015,25,-5.032302280034571
2016,26,-8.926120765781093
2017,27,-14.64480088419765
2018,28,-21.23641268857415
2019,29,-25.08888396942072
2020,30,-22.040088299217246
2021,31,-20.48505103270375
