,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
576,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,1,Number,1990,22453.183682236784,26424.532534427268,18976.80027791773
579,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,1,Number,1991,22705.5588486284,26586.85308833486,19275.460617626515
582,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,1,Number,1992,22923.70128295514,26862.26887253841,19426.91093855673
585,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,1,Number,1993,23132.45248742668,27172.38787925644,19687.735257732464
588,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,1,Number,1994,23564.66947208878,27571.1761612108,20039.6066010671
591,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,1,Number,1995,23459.919357657265,27537.463436067475,19979.58141227329
594,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,1,Number,1996,23612.84417823592,27699.029694375804,20170.82434353565
597,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,1,Number,1997,23671.277450224447,27692.125825399256,20271.65480514923
600,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,1,Number,1998,25649.214769250982,29848.907417159506,21840.7924833366
603,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,1,Number,1999,27193.66726177317,31566.28070567342,23105.83883381045
606,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,1,Number,2000,24043.694624697084,27835.883882232483,20352.07474606843
609,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,1,Number,2001,27634.841710322296,31994.47439259604,23457.439836324626
612,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,1,Number,2002,26253.920953325145,30326.593526775792,22480.26571257865
615,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,1,Number,2003,24952.3803369777,28762.616210745684,21558.73858585097
618,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,1,Number,2004,25667.438263241427,29678.388037082525,22223.84788426313
621,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,1,Number,2005,23400.2584276638,27012.10004251801,20274.468610909844
624,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,1,Number,2006,22256.926419979867,25618.27510773123,19351.85177523661
627,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,1,Number,2007,21493.940533329707,24667.108643965857,18709.885012418526
630,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,1,Number,2008,21012.129390515056,24130.542372959404,18300.373932173352
633,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,1,Number,2009,20769.606308446702,23706.5776546506,18172.51012933333
636,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,1,Number,2010,20023.200369892147,22743.94217628509,17512.317114444908
639,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,1,Number,2011,19539.956328728465,22142.222804331,17093.355669964927
642,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,1,Number,2012,18618.418235916528,21004.057077624555,16350.487308809074
645,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,1,Number,2013,17563.345374821107,19749.186372010696,15523.28011829396
648,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,1,Number,2014,17092.14004048583,19202.58304168278,15171.13771743474
651,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,1,Number,2015,16109.931981287998,18129.34696252397,14332.674432459698
654,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,1,Number,2016,15712.018341355171,17628.817965320093,14003.364104195449
657,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,1,Number,2017,15198.896493595186,17103.00874571846,13625.544500043226
660,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,1,Number,2018,15064.9231739856,17114.201500643252,13468.893769613333
663,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,1,Number,2019,15159.85508231728,17302.527173377144,13516.147484832773
666,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,1,Number,2020,15255.498242667514,17279.793263980122,13545.239757952342
669,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,1,Number,2021,15334.05136274529,17307.369972046414,13583.591458125518
