,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
578,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,3,Rate,1990,294.1833185776,346.21623297855,248.63547908169
581,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,3,Rate,1991,289.46997385569,338.95204780878,245.74013430979
584,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,3,Rate,1992,284.41122098728,333.27648943881,241.02702228781
587,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,3,Rate,1993,279.35808542746,328.14619455362,237.75810329632
590,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,3,Rate,1994,277.06424802159,324.17120041614,235.61792539248
593,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,3,Rate,1995,268.63160814471,315.32218735622,228.77943453311
596,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,3,Rate,1996,263.38761574272,308.96665113781,224.99387584601
599,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,3,Rate,1997,257.26029968545004,300.95902528919,220.31307779054
602,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,3,Rate,1998,271.67975524464,316.16343558148,231.34046050155
605,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,3,Rate,1999,280.8089869744,325.96174771802004,238.59699148547003
608,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,3,Rate,2000,242.09782784519,280.28167589175,204.92662068271
611,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,3,Rate,2001,271.36950236231,314.18036279251,230.34811785079
614,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,3,Rate,2002,251.49735909655,290.51120386697,215.34792721261
617,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,3,Rate,2003,233.25174220839,268.86935238342,201.52840198228
620,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,3,Rate,2004,234.1935449948,270.79005052442,202.77371142621
623,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,3,Rate,2005,208.45805287694003,240.63365780284,180.61237497909
626,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,3,Rate,2006,193.62796063785,222.87059185839,168.35476395525
629,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,3,Rate,2007,182.63559135211,209.59823384417,158.97926711364
632,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,3,Rate,2008,174.40679015138,200.29052561324,151.89843050943
635,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,3,Rate,2009,168.43605609349,192.25412289108,147.37428769938
638,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,3,Rate,2010,158.70104511682,180.2652586387,138.80014069371998
641,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,3,Rate,2011,151.41191055097,171.57644583473,132.45360410102
644,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,3,Rate,2012,141.10465434078,159.18485534796,123.91653419634
647,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,3,Rate,2013,130.24440618311,146.45393555316,115.11590519194
650,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,3,Rate,2014,124.07203819286,139.39176784801998,110.12746056656
653,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,3,Rate,2015,114.51093652442,128.86513125357,101.87801997345
656,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,3,Rate,2016,109.38724381129,122.7320237911,97.49157429457
659,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,3,Rate,2017,103.65741258398,116.64357571811,92.92705483701
662,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,3,Rate,2018,100.66657887589,114.36023239982,90.00161775608
665,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,3,Rate,2019,99.27918997074,113.31116774482,88.51484176682
668,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,3,Rate,2020,97.98412058085,110.98590946407,86.99934834167999
671,6,Incidence,216,Senegal,3,Both,22,All ages,332,Meningitis,3,Rate,2021,96.68653461088,109.12899573893,85.64927523635
