year,index,val
1990,0,-19.607551006766585
1991,1,-16.886677553118943
1992,2,-14.511212245971308
1993,3,-12.130129630233625
1994,4,-6.989748860546001
1995,5,-7.988170561868344
1996,6,-5.797944788300754
1997,7,-4.491042670013087
1998,8,17.3626310647345
1999,9,33.92608097005217
2000,10,2.6491400163998264
2001,11,39.35503270907748
2002,12,26.91710761887512
2003,13,16.105708906272753
2004,14,24.481729868240393
2005,15,6.180455925938048
2006,16,-1.2154181375943267
2007,17,-4.773569247776692
2008,18,-5.56815227294905
2009,19,-4.104668155281416
2010,20,-6.4054609563937674
2011,21,-6.260377346686141
2012,22,-9.133415381318486
2013,23,-12.559445363430854
2014,24,-11.297595178123188
2015,25,-13.424478671005573
2016,26,-11.113953208577925
2017,27,-9.40956626033028
2018,28,-4.966181792862642
2019,29,1.0806474775450141
2020,30,7.219796263212629
2021,31,13.356428468800274
