,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
672,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,1,Number,1990,8475.26942292462,9926.82019752038,7278.505742274125
675,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,1,Number,1991,8693.51407430499,10130.57092069519,7482.627648615817
678,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,1,Number,1992,8894.723446818878,10408.777595177584,7675.105578315484
681,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,1,Number,1993,9123.998225563551,10663.67725703631,7879.607328806108
684,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,1,Number,1994,9328.13286824199,10854.54767767457,8030.18827957274
687,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,1,Number,1995,9494.31516181799,11012.898033924375,8179.402482999705
690,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,1,Number,1996,9840.63340582146,11402.380734363478,8511.596485818021
693,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,1,Number,1997,11364.878639789242,13124.945257286574,9842.11277105628
696,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,1,Number,1998,10109.450106494596,11619.26199310981,8774.195922089471
699,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,1,Number,1999,10252.024962803584,11759.68317121368,8896.447497703342
702,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,1,Number,2000,10623.738548145197,12221.9139858402,9233.795550945932
705,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,1,Number,2001,10882.14917551374,12501.542637661896,9448.37451037403
708,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,1,Number,2002,11138.935234271366,12795.934188273724,9713.197941904342
711,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,1,Number,2003,11098.824572997544,12644.655599600545,9656.887571750394
714,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,1,Number,2004,11044.251341127369,12556.729903575611,9608.888801624436
717,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,1,Number,2005,11105.760718270809,12635.722438021196,9631.166330801632
720,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,1,Number,2006,11103.631428721552,12638.15951816049,9657.19761116696
723,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,1,Number,2007,11022.929411852065,12516.960399291238,9636.581975047333
726,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,1,Number,2008,10635.986682054272,12049.814177475266,9340.809920687
729,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,1,Number,2009,10332.458893675745,11741.159367244823,9070.712706607344
732,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,1,Number,2010,10012.077999895602,11313.441064656734,8849.917023495658
735,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,1,Number,2011,9630.655401366155,10853.96393633601,8541.743285358736
738,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,1,Number,2012,9200.775015391351,10339.877392759729,8194.142868409032
741,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,1,Number,2013,8722.841074592696,9765.620314862445,7780.209844256706
744,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,1,Number,2014,8280.319651883709,9246.453909999938,7389.101616626859
747,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,1,Number,2015,7881.681875724653,8821.954304813413,7021.349744025452
750,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,1,Number,2016,7614.755160343983,8480.168317114605,6841.4311305206775
753,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,1,Number,2017,7293.957711781105,8116.481442010823,6569.696959847197
756,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,1,Number,2018,7050.05942952378,7857.36947806167,6351.4907138319
759,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,1,Number,2019,7013.953007981912,7847.947767322553,6306.161387372611
762,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,1,Number,2020,7056.843210914999,7950.325283838727,6350.702703052888
765,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,1,Number,2021,7150.684678937268,8041.999002847831,6410.62129236217
