,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
674,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,3,Rate,1990,232.41018361116,272.2148393938,199.59233996753
677,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,3,Rate,1991,231.3104672236,269.54659219266,199.0921142668
680,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,3,Rate,1992,229.71659029672,268.81880168812,198.21853868301
683,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,3,Rate,1993,228.80993781664,267.42172343293,197.60333335798
686,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,3,Rate,1994,227.25104148225,264.43740665061,195.63064501839
689,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,3,Rate,1995,224.78493103605,260.73850329072,193.65340119014
692,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,3,Rate,1996,226.49856831449003,262.44478431462,195.90856996745
695,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,3,Rate,1997,254.38465991408,293.7809405176,220.29997762893
698,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,3,Rate,1998,220.10267857754,252.97426277763,191.03156002277
701,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,3,Rate,1999,217.11597353373,249.04495155151,188.40774056478
704,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,3,Rate,2000,218.85238969856,251.77531152237,190.21912231314
707,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,3,Rate,2001,218.07159409301,250.52324569773003,189.33962931708
710,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,3,Rate,2002,217.14397393836,249.44574516841,189.35045014587
713,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,3,Rate,2003,210.4759086025,239.79074169408,183.13130120836
716,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,3,Rate,2004,203.73637911905,231.6374922222,177.25784675964002
719,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,3,Rate,2005,199.29237646059,226.74747069121,172.83084651689
722,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,3,Rate,2006,193.82834184912,220.61552737542,168.57895652407
725,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,3,Rate,2007,187.19258309476,212.56437940343,163.64948052501998
728,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,3,Rate,2008,175.75236449455,199.11489142653,154.35045933489
731,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,3,Rate,2009,166.16313730823,188.81738569427,145.8721584534
734,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,3,Rate,2010,156.71594647022,177.08577822718,138.52500175632
737,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,3,Rate,2011,146.74045678454002,165.37977526585,130.14891086768
740,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,3,Rate,2012,136.49452848124,153.39323990834,121.56102776781
743,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,3,Rate,2013,126.03589152542,141.10295626817,112.41586033614
746,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,3,Rate,2014,116.57653821068,130.1784994867,104.02930359788002
749,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,3,Rate,2015,108.17377518108,121.07873886231,96.36596866682
752,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,3,Rate,2016,101.93776963835,113.52294672669,91.58537811059
755,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,3,Rate,2017,95.29603484829,106.04236121277,85.83352072593999
758,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,3,Rate,2018,89.95363896807,100.25432896472,81.04040941676
761,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,3,Rate,2019,87.46026051429,97.85973123165,78.63447575955
764,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,3,Rate,2020,86.07933918396,96.97802916633,77.46584070155
767,6,Incidence,218,Togo,3,Both,22,All ages,332,Meningitis,3,Rate,2021,85.42282437205,96.07055817242,76.58195003147
