year,index,val
1990,0,-30.356826383614646
1991,1,-25.83403624861492
1992,2,-21.80540665293526
1993,3,-17.08955261045557
1994,4,-13.02594242228588
1995,5,-9.869546345926182
1996,6,-2.5334025449264743
1997,7,30.975195577223218
1998,8,2.315720763242865
1999,9,4.951522241992592
2000,10,12.310444929382243
2001,11,17.152155846391963
2002,12,21.847042214301666
2003,13,20.80148340100135
2004,14,19.684460440111053
2005,15,20.86296430421072
2006,16,21.02143621530041
2007,17,20.008183983500118
2008,18,14.19047190584979
2009,19,10.223751242089492
2010,20,6.399066926639165
2011,21,2.0460837635188796
2012,22,-2.5773380172214218
2013,23,-7.4134684504817585
2014,24,-11.25031524266204
2015,25,-14.030571749702347
2016,26,-14.644070769872656
2017,27,-15.663299037372965
2018,28,-15.383188395033287
2019,29,-12.254060326253594
2020,30,-8.012475134023902
2021,31,-3.0464834233742124
