,Number,Date,Temperature Max
0,1,2100-01-01,0.6729980468750227
1,2,2100-01-02,-1.0441650390624773
2,3,2100-01-03,0.029534912109397737
3,4,2100-01-04,-1.1708435058593523
4,5,2100-01-05,-1.9935058593749773
5,6,2100-01-06,7.857049560546898
6,7,2100-01-07,6.849359130859398
7,8,2100-01-08,1.5642028808593977
8,9,2100-01-09,0.37227783203127274
9,10,2100-01-10,5.454095458984398
10,11,2100-01-11,2.1063476562500227
11,12,2100-01-12,-2.6037048339843523
12,13,2100-01-13,-2.2222045898437273
13,14,2100-01-14,-1.1229309082031023
14,15,2100-01-15,4.648156738281273
15,16,2100-01-16,4.570031738281273
16,17,2100-01-17,-3.8080505371093523
17,18,2100-01-18,-2.5888427734374773
18,19,2100-01-19,1.0801330566406477
19,20,2100-01-20,6.569665527343773
20,21,2100-01-21,-0.5140136718749773
21,22,2100-01-22,5.523278808593773
22,23,2100-01-23,9.710992431640648
23,24,2100-01-24,13.524743652343773
24,25,2100-01-25,12.999902343750023
25,26,2100-01-26,5.922723388671898
26,27,2100-01-27,6.943963623046898
27,28,2100-01-28,12.157067871093773
28,29,2100-01-29,16.676843261718773
29,30,2100-01-30,12.128869628906273
30,31,2100-01-31,10.640954589843773
31,32,2100-02-01,15.334863281250023
32,33,2100-02-02,17.548577880859398
33,34,2100-02-03,17.519036865234398
34,35,2100-02-04,10.891076660156273
35,36,2100-02-05,16.149804687500023
36,37,2100-02-06,18.327569580078148
37,38,2100-02-07,18.249291992187523
38,39,2100-02-08,19.038568115234398
39,40,2100-02-09,18.761804199218773
40,41,2100-02-10,17.739739990234398
41,42,2100-02-11,16.351281738281273
42,43,2100-02-12,12.643304443359398
43,44,2100-02-13,9.775811767578148
44,45,2100-02-14,14.298822021484398
45,46,2100-02-15,16.746484375000023
46,47,2100-02-16,19.083062744140648
47,48,2100-02-17,20.719934082031273
48,49,2100-02-18,15.368829345703148
49,50,2100-02-19,5.757989501953148
50,51,2100-02-20,3.3840881347656477
51,52,2100-02-21,11.738275146484398
52,53,2100-02-22,17.651544189453148
53,54,2100-02-23,21.096887207031273
54,55,2100-02-24,18.081506347656273
55,56,2100-02-25,14.313226318359398
56,57,2100-02-26,16.026208496093773
57,58,2100-02-27,18.748895263671898
58,59,2100-02-28,23.607781982421898
59,60,2100-03-01,20.091943359375023
60,61,2100-03-02,12.338769531250023
61,62,2100-03-03,13.348687744140648
62,63,2100-03-04,12.848321533203148
63,64,2100-03-05,11.761285400390648
64,65,2100-03-06,8.870874023437523
65,66,2100-03-07,23.245019531250023
66,67,2100-03-08,17.705194091796898
67,68,2100-03-09,5.766198730468773
68,69,2100-03-10,12.872857666015648
69,70,2100-03-11,9.383630371093773
70,71,2100-03-12,14.910485839843773
71,72,2100-03-13,13.526116943359398
72,73,2100-03-14,4.462884521484398
73,74,2100-03-15,7.103662109375023
74,75,2100-03-16,7.970941162109398
75,76,2100-03-17,12.172418212890648
76,77,2100-03-18,12.760430908203148
77,78,2100-03-19,17.077996826171898
78,79,2100-03-20,12.586114501953148
79,80,2100-03-21,14.410607910156273
80,81,2100-03-22,13.886102294921898
81,82,2100-03-23,12.270898437500023
82,83,2100-03-24,8.205987548828148
83,84,2100-03-25,8.200982666015648
84,85,2100-03-26,12.217401123046898
85,86,2100-03-27,12.665917968750023
86,87,2100-03-28,21.399987792968773
87,88,2100-03-29,21.503442382812523
88,89,2100-03-30,18.659173583984398
89,90,2100-03-31,15.951928710937523
90,91,2100-04-01,24.219720458984398
91,92,2100-04-02,19.214715576171898
92,93,2100-04-03,19.750054931640648
93,94,2100-04-04,25.475793457031273
94,95,2100-04-05,25.338311767578148
95,96,2100-04-06,13.997491455078148
96,97,2100-04-07,12.854302978515648
97,98,2100-04-08,17.555841064453148
98,99,2100-04-09,20.216485595703148
99,100,2100-04-10,20.707757568359398
100,101,2100-04-11,18.902917480468773
101,102,2100-04-12,12.079034423828148
102,103,2100-04-13,15.124841308593773
103,104,2100-04-14,15.874017333984398
104,105,2100-04-15,19.233666992187523
105,106,2100-04-16,17.083551025390648
106,107,2100-04-17,25.078363037109398
107,108,2100-04-18,27.633020019531273
108,109,2100-04-19,23.725213623046898
109,110,2100-04-20,20.907281494140648
110,111,2100-04-21,20.487695312500023
111,112,2100-04-22,18.649255371093773
112,113,2100-04-23,21.297845458984398
113,114,2100-04-24,24.521722412109398
114,115,2100-04-25,26.397790527343773
115,116,2100-04-26,20.814813232421898
116,117,2100-04-27,20.985101318359398
117,118,2100-04-28,24.085504150390648
118,119,2100-04-29,23.906671142578148
119,120,2100-04-30,28.132928466796898
120,121,2100-05-01,26.945153808593773
121,122,2100-05-02,23.835321044921898
122,123,2100-05-03,21.025567626953148
123,124,2100-05-04,17.969110107421898
124,125,2100-05-05,20.192254638671898
125,126,2100-05-06,24.603295898437523
126,127,2100-05-07,26.780603027343773
127,128,2100-05-08,23.931359863281273
128,129,2100-05-09,22.138818359375023
129,130,2100-05-10,20.153497314453148
130,131,2100-05-11,21.057275390625023
131,132,2100-05-12,17.796655273437523
132,133,2100-05-13,20.775292968750023
133,134,2100-05-14,27.646600341796898
134,135,2100-05-15,25.404016113281273
135,136,2100-05-16,25.787713623046898
136,137,2100-05-17,23.449731445312523
137,138,2100-05-18,21.500360107421898
138,139,2100-05-19,25.082910156250023
139,140,2100-05-20,30.314050292968773
140,141,2100-05-21,30.038812255859398
141,142,2100-05-22,26.550103759765648
142,143,2100-05-23,28.985833740234398
143,144,2100-05-24,31.716271972656273
144,145,2100-05-25,33.28545532226565
145,146,2100-05-26,32.2880798339844
146,147,2100-05-27,30.112115478515648
147,148,2100-05-28,27.270349121093773
148,149,2100-05-29,24.987969970703148
149,150,2100-05-30,25.031427001953148
150,151,2100-05-31,25.801904296875023
151,152,2100-06-01,27.284326171875023
152,153,2100-06-02,31.961724853515648
153,154,2100-06-03,32.3590026855469
154,155,2100-06-04,33.10817871093752
155,156,2100-06-05,30.293664550781273
156,157,2100-06-06,29.034570312500023
157,158,2100-06-07,30.015802001953148
158,159,2100-06-08,28.092919921875023
159,160,2100-06-09,28.999047851562523
160,161,2100-06-10,29.758386230468773
161,162,2100-06-11,30.146325683593773
162,163,2100-06-12,28.763482666015648
163,164,2100-06-13,28.017907714843773
164,165,2100-06-14,27.868371582031273
165,166,2100-06-15,25.698236083984398
166,167,2100-06-16,32.01741943359377
167,168,2100-06-17,32.7879577636719
168,169,2100-06-18,34.07802734375002
169,170,2100-06-19,36.13045654296877
170,171,2100-06-20,37.04497680664065
171,172,2100-06-21,35.78350219726565
172,173,2100-06-22,37.98610839843752
173,174,2100-06-23,37.26101074218752
174,175,2100-06-24,33.49590454101565
175,176,2100-06-25,37.45351562500002
176,177,2100-06-26,34.97796020507815
177,178,2100-06-27,28.771539306640648
178,179,2100-06-28,29.934472656250023
179,180,2100-06-29,30.666131591796898
180,181,2100-06-30,30.296563720703148
181,182,2100-07-01,33.98092041015627
182,183,2100-07-02,39.16094360351565
183,184,2100-07-03,39.3874450683594
184,185,2100-07-04,39.97930297851565
185,186,2100-07-05,41.79488525390627
186,187,2100-07-06,39.88375244140627
187,188,2100-07-07,34.7849060058594
188,189,2100-07-08,35.95205078125002
189,190,2100-07-09,32.3165222167969
190,191,2100-07-10,30.498315429687523
191,192,2100-07-11,34.2399841308594
192,193,2100-07-12,37.53374633789065
193,194,2100-07-13,33.0507751464844
194,195,2100-07-14,31.725976562500023
195,196,2100-07-15,35.40517578125002
196,197,2100-07-16,35.12679443359377
197,198,2100-07-17,34.93386230468752
198,199,2100-07-18,34.04653320312502
199,200,2100-07-19,36.6154724121094
200,201,2100-07-20,37.5897155761719
201,202,2100-07-21,40.13765869140627
202,203,2100-07-22,33.85476074218752
203,204,2100-07-23,29.295953369140648
204,205,2100-07-24,30.800286865234398
205,206,2100-07-25,34.05843505859377
206,207,2100-07-26,30.384851074218773
207,208,2100-07-27,26.355950927734398
208,209,2100-07-28,26.331262207031273
209,210,2100-07-29,29.409936523437523
210,211,2100-07-30,29.621820068359398
211,212,2100-07-31,29.733117675781273
212,213,2100-08-01,30.596429443359398
213,214,2100-08-02,31.364587402343773
214,215,2100-08-03,34.09249267578127
215,216,2100-08-04,35.77874145507815
216,217,2100-08-05,34.67543945312502
217,218,2100-08-06,35.74459228515627
218,219,2100-08-07,35.01577148437502
219,220,2100-08-08,33.59343872070315
220,221,2100-08-09,33.2922302246094
221,222,2100-08-10,31.479547119140648
222,223,2100-08-11,31.038446044921898
223,224,2100-08-12,33.50173339843752
224,225,2100-08-13,33.98934326171877
225,226,2100-08-14,34.51546630859377
226,227,2100-08-15,34.83022460937502
227,228,2100-08-16,31.514489746093773
228,229,2100-08-17,28.197839355468773
229,230,2100-08-18,27.808740234375023
230,231,2100-08-19,28.899682617187523
231,232,2100-08-20,29.102166748046898
232,233,2100-08-21,29.509973144531273
233,234,2100-08-22,30.051751708984398
234,235,2100-08-23,31.442987060546898
235,236,2100-08-24,34.2354675292969
236,237,2100-08-25,32.80083618164065
237,238,2100-08-26,29.930841064453148
238,239,2100-08-27,27.835565185546898
239,240,2100-08-28,26.279687500000023
240,241,2100-08-29,25.222924804687523
241,242,2100-08-30,27.117608642578148
242,243,2100-08-31,28.152856445312523
243,244,2100-09-01,28.332849121093773
244,245,2100-09-02,28.266320800781273
245,246,2100-09-03,24.472863769531273
246,247,2100-09-04,26.482598876953148
247,248,2100-09-05,29.342187500000023
248,249,2100-09-06,30.495385742187523
249,250,2100-09-07,33.10207519531252
250,251,2100-09-08,34.53692016601565
251,252,2100-09-09,31.141442871093773
252,253,2100-09-10,28.707818603515648
253,254,2100-09-11,29.347314453125023
254,255,2100-09-12,35.22698364257815
255,256,2100-09-13,37.92342529296877
256,257,2100-09-14,33.6478210449219
257,258,2100-09-15,32.89028320312502
258,259,2100-09-16,35.20852050781252
259,260,2100-09-17,28.910821533203148
260,261,2100-09-18,26.453820800781273
261,262,2100-09-19,27.529809570312523
262,263,2100-09-20,30.151391601562523
263,264,2100-09-21,27.671258544921898
264,265,2100-09-22,22.525842285156273
265,266,2100-09-23,24.317620849609398
266,267,2100-09-24,25.848474121093773
267,268,2100-09-25,29.719232177734398
268,269,2100-09-26,28.368554687500023
269,270,2100-09-27,23.976831054687523
270,271,2100-09-28,24.988031005859398
271,272,2100-09-29,25.535363769531273
272,273,2100-09-30,20.419610595703148
273,274,2100-10-01,20.943658447265648
274,275,2100-10-02,20.635461425781273
275,276,2100-10-03,27.208489990234398
276,277,2100-10-04,24.387872314453148
277,278,2100-10-05,15.443994140625023
278,279,2100-10-06,15.825463867187523
279,280,2100-10-07,21.542291259765648
280,281,2100-10-08,25.944055175781273
281,282,2100-10-09,27.473504638671898
282,283,2100-10-10,24.531671142578148
283,284,2100-10-11,24.260064697265648
284,285,2100-10-12,22.816705322265648
285,286,2100-10-13,18.660119628906273
286,287,2100-10-14,15.774407958984398
287,288,2100-10-15,16.155114746093773
288,289,2100-10-16,19.972344970703148
289,290,2100-10-17,21.533654785156273
290,291,2100-10-18,20.347039794921898
